degree_e1,degree_e2,gap_c,field_p,field_q,status
8,10,54,,,audited_empty
8,10,56,,,audited_empty
8,10,58,,,audited_empty
8,10,60,,,audited_empty
8,10,62,,,audited_empty
8,10,64,,,audited_empty
8,10,66,,,audited_empty
8,10,68,,,audited_empty
8,10,70,,,audited_empty
8,10,72,,,audited_empty
8,10,74,,,audited_empty
8,10,76,,,audited_empty
8,10,78,,,audited_empty
8,10,80,,,audited_empty
8,10,82,,,audited_empty
8,10,84,,,audited_empty
8,10,86,,,audited_empty
8,10,88,,,audited_empty
8,10,90,,,audited_empty
8,10,92,,,audited_empty
8,10,94,,,audited_empty
8,10,96,,,audited_empty
8,10,98,,,audited_empty
8,10,100,,,audited_empty
8,10,102,,,audited_empty
8,10,104,,,audited_empty
8,10,106,,,audited_empty
8,12,2,,,audited_empty
8,12,4,,,audited_empty
8,12,6,,,audited_empty
8,12,8,,,audited_empty
8,12,10,,,audited_empty
8,12,12,,,audited_empty
8,12,14,,,audited_empty
8,12,16,,,audited_empty
8,12,18,,,audited_empty
8,12,20,,,audited_empty
8,12,22,,,audited_empty
8,12,24,,,audited_empty
8,12,26,,,audited_empty
8,12,28,,,audited_empty
8,12,30,,,audited_empty
8,12,32,,,audited_empty
8,12,34,,,audited_empty
8,12,36,,,audited_empty
8,12,38,,,audited_empty
8,12,40,,,audited_empty
8,12,42,,,audited_empty
8,12,44,,,audited_empty
8,12,46,,,audited_empty
8,12,48,,,audited_empty
8,12,50,,,audited_empty
8,12,52,,,audited_empty
8,12,54,,,audited_empty
8,12,56,,,audited_empty
8,12,58,,,audited_empty
8,12,60,,,audited_empty
8,12,62,,,audited_empty
8,12,64,,,audited_empty
8,12,66,,,audited_empty
8,12,68,,,audited_empty
8,12,70,,,audited_empty
8,12,72,,,audited_empty
8,12,74,,,audited_empty
8,12,76,,,audited_empty
8,12,78,,,audited_empty
8,12,80,,,audited_empty
8,12,82,,,audited_empty
8,12,84,,,audited_empty
8,12,86,,,audited_empty
8,12,88,,,audited_empty
8,12,90,,,audited_empty
8,12,92,,,audited_empty
8,12,94,,,audited_empty
8,12,96,,,audited_empty
8,12,98,,,audited_empty
8,12,100,,,audited_empty
8,12,102,,,audited_empty
8,12,104,,,audited_empty
8,12,106,,,audited_empty
10,5,2,,,audited_empty
10,5,4,,,audited_empty
10,5,6,,,audited_empty
10,5,8,,,audited_empty
10,5,10,,,audited_empty
10,5,12,,,audited_empty
10,5,14,,,audited_empty
10,5,16,,,audited_empty
10,5,18,,,audited_empty
10,5,20,,,audited_empty
10,5,22,,,audited_empty
10,5,24,,,audited_empty
10,5,26,,,audited_empty
10,5,28,,,audited_empty
10,5,30,,,audited_empty
10,5,32,,,audited_empty
10,5,34,,,audited_empty
10,5,36,,,audited_empty
10,5,38,,,audited_empty
10,5,40,,,audited_empty
10,5,42,,,audited_empty
10,5,44,,,audited_empty
10,5,46,,,audited_empty
10,5,48,,,audited_empty
10,5,50,,,audited_empty
