cycle,position,field_prime,a,b,expected_order,bsgs_order,exhaustive_order,trace,cm_radicand,embedding_degree,coefficient_attempts,bsgs_isolation_failures,seed,elapsed_seconds,verification_method,independently_verified_order,witness_x,witness_y
8664193-8667137,E1,8664193,7330033,3010698,8667137,8667137,,-2943,25995523,4,44577,0,8271,22.593064,prime_point_hasse_certificate,8667137,0,7728700
8664193-8667137,E2,8667137,8144793,3317056,8664193,8664193,,2945,25995523,6,27504,0,8272,17.339345,prime_point_hasse_certificate,8664193,0,4815078
9323863-9326917,E1,9323863,2204053,6651200,9326917,9326917,,-3053,27974643,4,14525,0,8273,9.078995,prime_point_hasse_certificate,9326917,4,3991402
9323863-9326917,E2,9326917,6805378,7635872,9323863,9323863,,3055,27974643,6,3278,0,8274,1.856811,prime_point_hasse_certificate,9323863,0,2973964
9569743-9572837,E1,9569743,6589744,3653275,9572837,9572837,,-3093,28712323,4,2405,0,8275,1.249721,prime_point_hasse_certificate,9572837,0,4605525
9569743-9572837,E2,9572837,5123610,1283142,9569743,9569743,,3095,28712323,6,157,0,8276,0.100101,prime_point_hasse_certificate,9569743,0,8416628
9831361-9834497,E1,9831361,8985354,626430,9834497,9834497,,-3135,29497219,4,3626,0,8277,2.494914,prime_point_hasse_certificate,9834497,3,4135224
9831361-9834497,E2,9834497,5195629,7980847,9831361,9831361,,3137,29497219,6,20293,0,8278,12.906259,prime_point_hasse_certificate,9831361,1,215184
10074277-10077451,E1,10074277,7862816,3814287,10077451,10077451,,-3173,30229179,6,4386,0,8279,2.854718,prime_point_hasse_certificate,10077451,0,6393973
10074277-10077451,E2,10077451,2617295,1064893,10074277,10074277,,3175,30229179,4,6443,0,8280,3.710742,prime_point_hasse_certificate,10074277,1,5701399
10211221-10214417,E1,10211221,2673568,3646772,10214417,10214417,,-3195,30636859,4,3757,0,8281,2.644961,prime_point_hasse_certificate,10214417,3,2012067
10211221-10214417,E2,10214417,4442582,5481543,10211221,10211221,,3197,30636859,6,18,0,8282,0.013161,prime_point_hasse_certificate,10211221,0,5691262
10265617-10268821,E1,10265617,8780555,7921046,10268821,10268821,,-3203,30803259,6,10660,0,8283,6.292888,prime_point_hasse_certificate,10268821,1,4899997
10265617-10268821,E2,10268821,2828087,2814225,10265617,10265617,,3205,30803259,4,35320,0,8284,18.358001,prime_point_hasse_certificate,10265617,1,7697876
10326583-10329797,E1,10326583,8477420,1617850,10329797,10329797,,-3213,30982963,4,21013,0,8285,11.979230,prime_point_hasse_certificate,10329797,0,10129793
10326583-10329797,E2,10329797,2925407,1991311,10326583,10326583,,3215,30982963,6,15883,0,8286,10.600150,prime_point_hasse_certificate,10326583,0,148339
10588517-10591771,E1,10588517,8317645,7133311,10591771,10591771,,-3253,31772059,6,5772,0,8287,3.676203,prime_point_hasse_certificate,10591771,1,7430538
10588517-10591771,E2,10591771,4729920,935009,10588517,10588517,,3255,31772059,4,18537,0,8288,11.473056,prime_point_hasse_certificate,10588517,0,4024405
10982597-10985911,E1,10982597,5501455,1265444,10985911,10985911,,-3313,32954419,6,5069,0,8289,3.159238,prime_point_hasse_certificate,10985911,0,5707532
10982597-10985911,E2,10985911,6510939,1693341,10982597,10982597,,3315,32954419,4,1082,0,8290,0.701270,prime_point_hasse_certificate,10982597,0,3372046
11152261-11155601,E1,11152261,10966484,7391194,11155601,11155601,,-3339,33460123,4,26791,0,8291,16.461960,prime_point_hasse_certificate,11155601,0,1075872
11152261-11155601,E2,11155601,10965322,1966380,11152261,11152261,,3341,33460123,6,16082,0,8292,9.895359,prime_point_hasse_certificate,11152261,1,10627985
12065203-12068677,E1,12065203,5299700,12023442,12068677,12068677,,-3473,36199083,4,7806,0,8293,4.680028,prime_point_hasse_certificate,12068677,1,4724022
12065203-12068677,E2,12068677,2616438,7689508,12065203,12065203,,3475,36199083,6,24876,0,8294,15.705212,prime_point_hasse_certificate,12065203,0,9849923
