field_prime_e1,field_prime_e2,field_prime_e3,trace_e1,trace_e2,trace_e3,cm_discriminant_e1,cm_conductor_e1,cm_discriminant_e2,cm_conductor_e2,cm_discriminant_e3,cm_conductor_e3,embedding_degree_e1,embedding_degree_e2,embedding_degree_e3,target_position_count,rho_max,status,first_rejecting_condition
7450171,7455631,7452901,-5459,2731,2731,-3,1,-2484907,3,-22353243,1,>12,4,6,2,1.000023153012,two_of_three,k1_not_in_3_12
7482961,7485697,7488433,-2735,-2735,5473,-22451619,1,-22462563,1,-3,1,4,6,>12,2,1.000046183198,two_of_three,k3_not_in_3_12
7482961,7488433,7485697,-5471,2737,2737,-3,1,-22462563,1,-22451619,1,>12,4,6,2,1.000023095819,two_of_three,k1_not_in_3_12
24100957,24106111,24103481,-5153,2631,2525,-69850419,1,-89502283,1,-532771,13,>12,8,9,2,1.000006418859,two_of_three,k1_not_in_3_12
36066031,36072037,36078043,-6005,-6005,12013,-108204099,1,-12025347,3,-3,1,4,6,>12,2,1.000019137002,two_of_three,k3_not_in_3_12
36066031,36078043,36072037,-12011,6007,6007,-3,1,-12025347,3,-108204099,1,>12,4,6,2,1.000009569297,two_of_three,k1_not_in_3_12
37155121,37161217,37167313,-6095,-6095,12193,-111471459,1,-12388427,3,-3,1,4,6,>12,2,1.000018822287,two_of_three,k3_not_in_3_12
37155121,37167313,37161217,-12191,6097,6097,-3,1,-12388427,3,-111471459,1,>12,4,6,2,1.000009411915,two_of_three,k1_not_in_3_12
39759331,39765637,39771943,-6305,-6305,12613,-13253811,3,-119309523,1,-3,1,4,6,>12,2,1.000018125033,two_of_three,k3_not_in_3_12
39759331,39771943,39765637,-12611,6307,6307,-3,1,-119309523,1,-13253811,3,>12,4,6,2,1.000009063235,two_of_three,k1_not_in_3_12
49189183,49196197,49203211,-7013,-7013,14029,-147574563,1,-16400291,3,-3,1,4,6,>12,2,1.000016099657,two_of_three,k3_not_in_3_12
49189183,49203211,49196197,-14027,7015,7015,-3,1,-16400291,3,-147574563,1,>12,4,6,2,1.000008050402,two_of_three,k1_not_in_3_12
