degree_e1,degree_e2,bounded_side,bounded_multiplier,divisor_linear_coefficient,remainder_linear_coefficient,remainder_constant,exhaustive_gap_bound,gap_c,field_p,field_q,implicit_multiplier,status,rejection_reason
8,3,e2,6,7,-1974,-282,2265,,,,,finite_case_empty,no allowable even gap
8,4,e2,1,1,1,1,5,,,,,finite_case_empty,no allowable even gap
8,4,e2,2,2,-8,-4,16,,,,,finite_case_empty,no allowable even gap
8,4,e2,3,3,-63,-21,89,,,,,finite_case_empty,no allowable even gap
8,4,e2,4,4,-224,-56,286,,,,,finite_case_empty,no allowable even gap
8,4,e2,5,5,-575,-115,697,,,,,finite_case_empty,no allowable even gap
8,4,e2,6,6,-1224,-204,1436,2,,,6,candidate_rejected,bounded quadratic quotient is not integral
8,6,e2,1,0,0,2,4,,,,,finite_case_empty,no allowable even gap
8,6,e2,2,1,2,2,7,,,,,finite_case_empty,no allowable even gap
8,6,e2,3,2,-12,-6,22,,,,,finite_case_empty,no allowable even gap
8,6,e2,4,3,-84,-28,117,,,,,finite_case_empty,no allowable even gap
8,6,e2,5,4,-280,-70,356,,,,,finite_case_empty,no allowable even gap
8,6,e2,6,5,-690,-138,835,,,,,finite_case_empty,no allowable even gap
10,3,e2,1,2,-2,-1,7,,,,,finite_case_empty,no allowable even gap
10,3,e2,2,3,-30,-10,45,,,,,finite_case_empty,no allowable even gap
10,3,e2,3,4,-132,-33,171,4,7,11,31,exact_cycle,none
10,3,e2,4,5,-380,-76,463,,,,,finite_case_empty,no allowable even gap
10,3,e2,5,6,-870,-145,1023,,,,,finite_case_empty,no allowable even gap
10,3,e2,6,7,-1722,-246,1977,,,,,finite_case_empty,no allowable even gap
10,4,e2,1,1,1,1,5,,,,,finite_case_empty,no allowable even gap
