field_prime_e1,field_prime_e2,field_prime_e3,trace_e1,trace_e2,trace_e3,cm_discriminant_e1,cm_conductor_e1,cm_discriminant_e2,cm_conductor_e2,cm_discriminant_e3,cm_conductor_e3,embedding_degree_e1,embedding_degree_e2,embedding_degree_e3,target_position_count,rho_max,status,first_rejecting_condition
601,641,619,-39,23,19,-883,1,-2035,1,-235,3,16,>18,15,2,1.005433044848,two_of_three,k2_not_in_3_18
631,673,661,-41,13,31,-843,1,-3,29,-187,3,12,15,14,3,1.007204245975,hit,none
911,929,941,-17,-11,31,-3355,1,-3595,1,-2803,1,8,>18,13,2,1.004754573097,two_of_three,k2_not_in_3_18
911,937,941,-25,-3,31,-3019,1,-3739,1,-2803,1,13,>18,13,2,1.004754573097,two_of_three,k2_not_in_3_18
947,1009,991,-61,19,45,-67,1,-3,35,-1939,1,16,9,>18,2,1.006626799812,two_of_three,k3_not_in_3_18
991,1019,1033,-27,-13,43,-3235,1,-3907,1,-2283,1,>18,12,11,2,1.006016763642,two_of_three,k1_not_in_3_18
1697,1741,1733,-43,9,37,-4939,1,-6883,1,-5563,1,5,>18,16,2,1.002822792102,two_of_three,k2_not_in_3_18
2663,2729,2711,-65,19,49,-6427,1,-10555,1,-8443,1,8,5,>18,2,1.002264966558,two_of_three,k3_not_in_3_18
2663,2729,2719,-65,11,57,-6427,1,-10795,1,-7627,1,8,>18,11,2,1.002638558191,two_of_three,k2_not_in_3_18
2663,2729,2731,-65,-1,69,-6427,1,-10915,1,-6163,1,8,13,>18,2,1.003196889671,two_of_three,k3_not_in_3_18
2917,2939,2971,-21,-31,55,-11227,1,-10795,1,-8859,1,>18,11,4,2,1.002299096346,two_of_three,k1_not_in_3_18
6911,7057,6949,-145,109,39,-6619,1,-16347,1,-1051,5,3,18,>18,2,1.001743347525,two_of_three,k3_not_in_3_18
8011,8101,8191,-89,-89,181,-24123,1,-24483,1,-3,1,4,6,>18,2,1.002472071880,two_of_three,k3_not_in_3_18
8011,8191,8101,-179,91,91,-3,1,-24483,1,-24123,1,>18,4,6,2,1.001242902100,two_of_three,k1_not_in_3_18
9391,9403,9521,-11,-117,131,-37443,1,-23923,1,-427,7,>18,7,10,2,1.001502934230,two_of_three,k1_not_in_3_18
10513,10639,10691,-125,-51,179,-26427,1,-39955,1,-10723,1,>18,5,8,2,1.001813068302,two_of_three,k1_not_in_3_18
12101,12241,12211,-139,31,111,-29083,1,-48003,1,-36523,1,>18,15,4,2,1.000962562417,two_of_three,k1_not_in_3_18
14281,14401,14389,-119,13,109,-42963,1,-57435,1,-203,15,4,>18,17,2,1.000787529129,two_of_three,k2_not_in_3_18
15233,15443,15331,-209,113,99,-17251,1,-49003,1,-51523,1,7,14,>18,2,1.000755258528,two_of_three,k3_not_in_3_18
23279,23311,23473,-31,-161,195,-92155,1,-67323,1,-55867,1,18,12,>18,2,1.000825351019,two_of_three,k3_not_in_3_18
32059,32327,32401,-267,-73,343,-56947,1,-123979,1,-11955,1,>18,15,13,2,1.001022746075,two_of_three,k1_not_in_3_18
40897,41263,40961,-365,303,65,-30363,1,-73243,1,-159619,1,13,16,>18,2,1.000691672345,two_of_three,k3_not_in_3_18
47407,47441,47629,-33,-187,223,-188539,1,-154795,1,-15643,3,16,14,>18,2,1.000433930374,two_of_three,k3_not_in_3_18
