mapping,p,u,exceptional,sample,batch,seed,nanoseconds_per_call
simple_swu,11,9,0,10,100,5402,2317.0
elligator2,11,4,1,10,100,5402,1972.0
elligator2,11,6,0,10,100,5402,1893.0
elligator2,11,10,0,10,100,5402,1866.0
elligator2,11,8,0,10,100,5402,1861.0
simple_swu,11,0,1,10,100,5402,2293.0
simple_swu,11,4,0,10,100,5402,2270.0
elligator2,11,1,0,10,100,5402,1924.0
simple_swu,11,3,1,10,100,5402,2337.0
elligator2,11,3,0,10,100,5402,1898.0
simple_swu,11,1,0,10,100,5402,2337.0
simple_swu,11,2,0,10,100,5402,2311.0
simple_swu,11,10,0,10,100,5402,2638.0
simple_swu,11,8,1,10,100,5402,2294.0
elligator2,11,9,0,11,100,5402,1905.0
elligator2,11,2,0,11,100,5402,1888.0
elligator2,11,7,1,11,100,5402,1926.0
simple_swu,11,4,0,11,100,5402,2337.0
simple_swu,11,2,0,11,100,5402,2303.0
elligator2,11,0,0,11,100,5402,1933.0
simple_swu,11,7,0,11,100,5402,2305.0
elligator2,11,1,0,11,100,5402,1880.0
simple_swu,11,1,0,11,100,5402,2401.0
simple_swu,11,0,1,11,100,5402,2694.0
simple_swu,11,5,0,11,100,5402,2321.0
simple_swu,11,9,0,11,100,5402,2383.0
elligator2,11,5,0,11,100,5402,1915.0
simple_swu,11,6,0,11,100,5402,2347.0
simple_swu,11,10,0,11,100,5402,2290.0
elligator2,11,3,0,11,100,5402,1886.0
simple_swu,11,8,1,11,100,5402,2249.0
elligator2,11,6,0,11,100,5402,1889.0
simple_swu,11,3,1,11,100,5402,2482.0
elligator2,11,4,1,11,100,5402,1897.0
elligator2,11,8,0,11,100,5402,1863.0
elligator2,11,10,0,11,100,5402,1898.0
elligator2,11,10,0,12,100,5402,1857.0
simple_swu,11,2,0,12,100,5402,3425.0
elligator2,11,2,0,12,100,5402,2878.0
elligator2,11,8,0,12,100,5402,2890.0
elligator2,11,3,0,12,100,5402,2373.0
elligator2,11,5,0,12,100,5402,1974.0
simple_swu,11,4,0,12,100,5402,2397.0
simple_swu,11,8,1,12,100,5402,2378.0
simple_swu,11,6,0,12,100,5402,2327.0
elligator2,11,7,1,12,100,5402,2008.0
elligator2,11,6,0,12,100,5402,1906.0
simple_swu,11,7,0,12,100,5402,2290.0
simple_swu,11,5,0,12,100,5402,2383.0
elligator2,11,1,0,12,100,5402,1890.0
simple_swu,11,0,1,12,100,5402,2362.0
simple_swu,11,9,0,12,100,5402,3165.0
elligator2,11,9,0,12,100,5402,2678.0
simple_swu,11,1,0,12,100,5402,2424.0
elligator2,11,4,1,12,100,5402,2569.0
simple_swu,11,3,1,12,100,5402,3051.0
elligator2,11,0,0,12,100,5402,3388.0
simple_swu,11,10,0,12,100,5402,2444.0
simple_swu,11,9,0,13,100,5402,2368.0
simple_swu,11,7,0,13,100,5402,2356.0
elligator2,11,0,0,13,100,5402,1933.0
elligator2,11,9,0,13,100,5402,2157.0
simple_swu,11,1,0,13,100,5402,2397.0
simple_swu,11,3,1,13,100,5402,2300.0
elligator2,11,10,0,13,100,5402,1897.0
elligator2,11,5,0,13,100,5402,1958.0
elligator2,11,7,1,13,100,5402,1939.0
simple_swu,11,5,0,13,100,5402,2341.0
simple_swu,11,6,0,13,100,5402,2327.0
elligator2,11,2,0,13,100,5402,1956.0
elligator2,11,1,0,13,100,5402,1888.0
elligator2,11,8,0,13,100,5402,1883.0
simple_swu,11,0,1,13,100,5402,2309.0
elligator2,11,3,0,13,100,5402,2192.0
elligator2,11,6,0,13,100,5402,1880.0
elligator2,11,4,1,13,100,5402,1934.0
simple_swu,11,8,1,13,100,5402,2270.0
simple_swu,11,10,0,13,100,5402,2292.0
simple_swu,11,2,0,13,100,5402,2249.0
simple_swu,11,4,0,13,100,5402,2266.0
simple_swu,11,6,0,14,100,5402,2226.0
simple_swu,11,5,0,14,100,5402,2239.0
elligator2,11,0,0,14,100,5402,1877.0
elligator2,11,2,0,14,100,5402,1831.0
elligator2,11,8,0,14,100,5402,1834.0
simple_swu,11,9,0,14,100,5402,2771.0
elligator2,11,6,0,14,100,5402,2008.0
elligator2,11,9,0,14,100,5402,1862.0
simple_swu,11,3,1,14,100,5402,2307.0
simple_swu,11,7,0,14,100,5402,2260.0
elligator2,11,3,0,14,100,5402,1867.0
elligator2,11,4,1,14,100,5402,1922.0
simple_swu,11,10,0,14,100,5402,2253.0
elligator2,11,1,0,14,100,5402,1854.0
simple_swu,11,4,0,14,100,5402,2259.0
elligator2,11,10,0,14,100,5402,1843.0
simple_swu,11,8,1,14,100,5402,2241.0
simple_swu,11,1,0,14,100,5402,2297.0
simple_swu,11,2,0,14,100,5402,3210.0
elligator2,11,5,0,14,100,5402,1955.0
elligator2,11,7,1,14,100,5402,1930.0
simple_swu,11,0,1,14,100,5402,2297.0
simple_swu,11,6,0,15,100,5402,2475.0
simple_swu,11,0,1,15,100,5402,2255.0
simple_swu,11,9,0,15,100,5402,2448.0
elligator2,11,5,0,15,100,5402,1989.0
elligator2,11,1,0,15,100,5402,1953.0
simple_swu,11,7,0,15,100,5402,2293.0
elligator2,11,6,0,15,100,5402,1875.0
simple_swu,11,10,0,15,100,5402,2376.0
