analysis_family,k,bits,p,n,mean_max_height,median_max_height,q25_max_height,q75_max_height,min_max_height,max_max_height,rank_status,known_rank
random_general_best_sampled,3,9,503,3,43.71942268438127,45.220674145646086,41.69710792229793,46.49236317709702,38.173541698949776,47.764052208547945,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,3,11,2039,3,56.346088692540945,54.353854601530855,53.28478566967015,58.411274669906696,52.215716737809444,62.46869473828254,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,3,13,8191,3,61.49280283955243,59.30889521103292,55.66640341401502,66.22724845083007,52.023911616997125,73.14560169062725,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,3,15,32719,3,79.49013576549213,76.66599695758318,74.83652833994485,82.73167378708493,73.00705972230652,88.79735061658667,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,4,5,31,3,18.773816857175913,18.781846620452793,18.059191410650413,19.492457185339855,17.33653620084803,20.203067750226918,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,4,7,127,3,31.028521034184276,28.217024900356375,27.563283191924366,33.08801080953023,26.909541483492358,37.95899671870409,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,4,9,503,3,51.855431546871664,52.595424486504164,51.28879767394203,52.79206188961754,49.98217086137989,52.988699292730914,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,4,11,2039,3,63.35690596057619,60.38477866260645,58.88698806573915,66.34076020642837,57.389197468871856,72.29674175025028,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,4,13,8191,3,73.81443089231384,72.79552523199924,69.65962641339353,77.45978254107683,66.52372759478781,82.12403985015445,total rank unavailable; lifted-point span rank unmeasured,
random_general_best_sampled,4,15,32719,3,91.23049317690925,88.8430578501999,88.00528627571894,93.26198241474488,87.16751470123799,97.68090697928986,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,1,5,31,3,5.79667137024238,6.376011584967581,3.1880057924837906,8.69500705536357,0.0,11.014002525759558,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,1,7,127,3,14.544035845603839,13.776972254440125,13.606243302382776,15.098296593243047,13.435514350325427,16.41962093204597,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,1,9,503,3,17.71114069243347,16.84885359682803,15.182719908302241,19.808417928761983,13.516586219776453,22.767982260695934,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,1,11,2039,3,27.1787202929636,27.106347943249034,25.91822434406364,28.403030067006277,24.730100744878243,29.699712190763517,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,1,13,8191,3,31.02866726586247,32.80066962846642,28.74603095231586,34.197304760711056,24.691392276165296,35.59393989295569,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,1,15,32719,3,38.25827227116246,37.62744131278985,36.82046073676106,39.380668326377545,36.013480160732286,41.13389533996524,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,2,5,31,3,15.228788875371635,15.251632175493855,14.22592344455467,16.243075956249708,13.200214713615486,17.234519737005563,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,2,7,127,3,24.845514043405107,23.467273929984593,23.176606247986516,25.825301782113442,22.88593856598844,28.18332963424229,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,2,9,503,3,31.183937404373054,31.021351614446278,30.737591459192878,31.54899045458984,30.45383130393948,32.0766292947334,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,2,11,2039,3,46.62359224305923,45.12221843487616,44.46530453638356,48.03119304564336,43.808390637890966,50.94016765641057,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,2,13,8191,3,54.44645889438849,57.45139576859463,52.664895217385194,57.73049100849486,47.878394666175765,58.00958624839509,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,2,15,32719,3,62.39751526698911,58.27773900131468,57.37960745120738,65.35553494993363,56.481475901100076,72.43333089855258,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,3,5,31,3,15.732577502688413,16.558596714078817,15.2639040529974,16.614260558074626,13.969211391915982,16.669924402070436,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,3,7,127,3,31.64710893736161,30.637018747004355,30.13124598492438,32.65792679462022,29.625473222844406,34.67883484223608,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,3,9,503,3,43.71942268438127,45.220674145646086,41.69710792229793,46.49236317709702,38.173541698949776,47.764052208547945,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,3,11,2039,3,56.346088692540945,54.353854601530855,53.28478566967015,58.411274669906696,52.215716737809444,62.46869473828254,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,3,13,8191,3,61.49280283955243,59.30889521103292,55.66640341401502,66.22724845083007,52.023911616997125,73.14560169062725,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,3,15,32719,3,79.49013576549213,76.66599695758318,74.83652833994485,82.73167378708493,73.00705972230652,88.79735061658667,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,4,5,31,3,18.773816857175913,18.781846620452793,18.059191410650413,19.492457185339855,17.33653620084803,20.203067750226918,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,4,7,127,3,31.028521034184276,28.217024900356375,27.563283191924366,33.08801080953023,26.909541483492358,37.95899671870409,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,4,9,503,3,51.855431546871664,52.595424486504164,51.28879767394203,52.79206188961754,49.98217086137989,52.988699292730914,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,4,11,2039,3,63.35690596057619,60.38477866260645,58.88698806573915,66.34076020642837,57.389197468871856,72.29674175025028,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,4,13,8191,3,73.81443089231384,72.79552523199924,69.65962641339353,77.45978254107683,66.52372759478781,82.12403985015445,total rank unavailable; lifted-point span rank unmeasured,
random_general_min_norm,4,15,32719,3,91.23049317690925,88.8430578501999,88.00528627571894,93.26198241474488,87.16751470123799,97.68090697928986,total rank unavailable; lifted-point span rank unmeasured,
random_short_single,1,5,31,3,1.4999596443506114,2.0155787592033154,1.0077893796016577,2.249939466525917,0.0,2.4843001738485184,unavailable,
random_short_single,1,7,127,3,3.8096307484494396,3.457388148064607,3.437319197926569,4.005820998779893,3.417250247788531,4.55425384949518,unavailable,
random_short_single,1,9,503,3,4.64016183999021,4.455538274247399,4.23000382680078,4.958008070308233,4.004469379354161,5.460477866369069,unavailable,
random_short_single,1,11,2039,3,6.833445046983687,6.833109495806176,6.639082919562712,7.027639398815907,6.445056343319248,7.222169301825638,unavailable,
random_short_single,1,13,8191,3,7.379408021899944,7.744991047891288,6.697603096266118,8.244004460529442,5.6502151446409465,8.743017873167599,unavailable,
random_short_single,1,15,32719,3,8.832181843119686,8.926198500231289,8.205424844113148,9.505947170682028,7.4846511879950075,10.085695841132766,unavailable,
