bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
16,30,65173,1,3,4090,3,4096,10,1,5,64701,79,64701,1,-3,1,181,403,64771,487,0.11619995348155499
16,31,65171,11,2,256,3,4096,1,0,0,65172,5431,,1,-7,1,118,404,64768,23,0.04029995761811733
16,31,65171,11,3,4090,3,4096,1,0,0,65172,5431,,1,-7,1,118,-404,65576,1171,0.04029995761811733
16,32,65167,7,2,256,3,4096,7,0,0,65457,1039,,1,-11,1,123,-307,65475,97,0.13559998478740454
16,32,65167,7,3,4090,3,4096,7,1,4,65457,1039,64659,1,-3,1,266,220,64948,1249,0.13559998478740454
20,1,1048573,1,2,400,3,8000,10,1,2,1046539,223,1046539,1,-3,1,133,2035,1046539,223,0.23120001424103975
20,1,1048573,1,3,8000,3,8000,10,1,3,1046539,223,1046539,1,-3,1,133,2035,1046539,223,0.23120001424103975
20,2,1048571,11,2,400,3,8000,1,1,1,1048572,73,1048572,1,-8,1,115,-2022,1050594,331,0.10030006524175406
20,2,1048571,11,3,8000,3,8000,1,1,1,1048572,73,1048572,1,-8,1,115,-2022,1050594,331,0.10030006524175406
20,3,1048559,11,2,400,3,8000,1,1,1,1048560,257,1048560,1,-35,2,185,-1731,1050291,103,0.21500000730156898
20,3,1048559,11,3,8000,3,8000,1,1,1,1048560,257,1048560,1,-19,1,262,1700,1046860,3079,0.21500000730156898
20,4,1048549,1,2,400,3,8000,10,1,2,1046577,61,1046577,1,-3,1,317,1973,1046577,61,0.1962999813258648
20,4,1048549,1,3,8000,3,8000,10,1,3,1046577,61,1046577,1,-3,1,1145,-511,1049061,727,0.1962999813258648
20,5,1048517,5,2,400,3,8000,5,0,0,1048900,617,,1,-7,1,332,-1850,1050368,373,0.11519994586706161
20,5,1048517,5,3,8000,3,8000,5,1,3,1048900,617,1046506,1,-4,1,1006,-382,1048900,617,0.11519994586706161
20,6,1048507,7,2,400,3,8000,7,1,1,1048684,67,1048684,1,-3,1,1178,-176,1048684,67,0.1050999853760004
20,6,1048507,7,3,8000,3,8000,7,1,5,1048684,67,1046653,1,-3,1,501,1855,1046653,1777,0.1050999853760004
20,7,1048447,7,2,400,3,8000,7,1,2,1049139,61,1047757,1,-3,1,1113,691,1047757,373,0.11399993672966957
20,7,1048447,7,3,8000,3,8000,7,1,3,1049139,61,1047124,1,-3,1,1113,691,1047757,373,0.11399993672966957
20,8,1048433,5,2,400,3,8000,5,1,1,1049188,101,1049188,1,-4,1,952,-754,1049188,101,0.07479998748749495
20,8,1048433,5,3,8000,3,8000,5,1,4,1049188,101,1046530,1,-4,1,377,1904,1046530,457,0.07479998748749495
20,9,1048423,7,2,400,3,8000,7,1,1,1050147,211,1050147,1,-3,1,639,-1723,1050147,211,0.15330000314861536
20,9,1048423,7,3,8000,3,8000,7,1,5,1050147,211,1046604,1,-3,1,639,-1723,1050147,211,0.15330000314861536
20,10,1048391,11,2,400,3,8000,1,0,0,1048392,14561,,1,-7,1,770,-208,1048600,107,0.04730001091957092
20,10,1048391,11,3,8000,3,8000,1,0,0,1048392,14561,,1,-7,1,770,-208,1048600,107,0.04730001091957092
20,11,1048387,7,2,400,3,8000,7,0,0,1047769,463,,1,-19,1,414,968,1047420,23,0.16629998572170734
20,11,1048387,7,3,8000,3,8000,7,1,4,1047769,463,1047007,1,-3,1,1127,619,1047769,463,0.16629998572170734
20,12,1048367,11,2,400,3,8000,1,0,0,1048368,21841,,1,-23,3,346,1200,1047168,101,0.10120007209479809
20,12,1048367,11,3,8000,3,8000,1,0,0,1048368,21841,,1,-11,1,457,-1377,1049745,1489,0.10120007209479809
20,13,1048361,5,2,400,3,8000,5,1,2,1050400,101,1048362,1,-4,1,100,-2038,1050400,101,0.12750003952533007
20,13,1048361,5,3,8000,3,8000,5,1,3,1050400,101,1048362,1,-4,1,100,-2038,1050400,101,0.12750003952533007
20,14,1048357,1,2,400,3,8000,10,1,2,1047087,139,1047087,1,-3,1,172,-2026,1050384,277,0.13509998098015785
20,14,1048357,1,3,8000,3,8000,10,1,4,1047087,139,1046340,1,-3,1,172,-2026,1050384,277,0.13509998098015785
20,15,1048343,11,2,400,3,8000,1,1,1,1048344,19,1048344,1,-7,1,562,-1408,1049752,151,0.032100011594593525
20,15,1048343,11,3,8000,3,8000,1,1,1,1048344,19,1048344,1,-7,1,562,-1408,1049752,151,0.032100011594593525
20,16,1048309,1,2,400,3,8000,10,1,1,1046448,43,1046448,1,-3,1,492,1862,1046448,43,0.20060001406818628
20,16,1048309,1,3,8000,3,8000,10,1,4,1046448,43,1046448,1,-3,1,1177,-193,1048503,937,0.20060001406818628
20,17,1048291,7,2,400,3,8000,7,1,2,1046253,193,1046253,1,-3,1,1074,-856,1049148,193,0.4851999692618847
20,17,1048291,7,3,8000,3,8000,7,1,5,1046253,193,1046253,1,-3,1,1074,-856,1049148,193,0.4851999692618847
20,18,1048273,1,2,400,3,8000,10,1,1,1050010,197,1050010,1,-4,1,543,-1736,1050010,197,0.3871000371873379
20,18,1048273,1,3,8000,3,8000,10,1,6,1050010,197,1046538,1,-3,1,1008,-1070,1049344,4099,0.3871000371873379
20,19,1048261,1,2,400,3,8000,10,1,1,1049776,103,1049776,1,-3,1,796,-1514,1049776,103,0.1452000578865409
20,19,1048261,1,3,8000,3,8000,10,1,6,1049776,103,1046311,1,-3,1,1155,437,1047825,4657,0.1452000578865409
20,20,1048219,7,2,400,3,8000,7,1,1,1049673,103,1049673,1,-3,1,833,-1453,1049673,103,0.09400001727044582
