bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
60,958,1152921504606806723,11,3,216000,2,3600,1,0,0,1152921504606806724,96076792050567227,,1,-1499,13,55291142,-170521416,1152921504777328140,23029,65.66650001332164
60,959,1152921504606806581,1,3,216000,2,3600,10,1,1,1152921506465818236,146173,1152921506465818236,1,-3,1,620688244,-1859011654,1152921506465818236,146173,38.08050008956343
60,960,1152921504606806531,11,3,216000,2,3600,1,0,0,1152921504606806532,20559325639,,1,-1195,8,41104390,1610170432,1152921502996636100,62191,116.17429996840656
60,961,1152921504606806509,1,3,216000,2,3600,10,1,1,1152921504081045279,82723,1152921504081045279,1,-3,1,1202117735,525761231,1152921504081045279,82723,49.908800050616264
60,962,1152921504606806413,1,3,216000,2,3600,10,0,0,1152921506694096279,1150117,,1,-3439,30,27706012,-1404218706,1152921506011025120,36241,167.00030001811683
60,963,1152921504606806399,11,3,216000,2,3600,1,0,0,1152921504606806400,1003668737,,1,-499,3,92478998,-586562740,1152921505193369140,69767,54.46080002002418
60,964,1152921504606806359,7,3,216000,2,3600,7,0,0,1152921504606806360,1124113,,1,-155,4,148622877,-1089921229,1152921505696727589,31051,14.07509995624423
60,965,1152921504606806339,11,3,216000,2,3600,1,0,0,1152921504606806340,526174276681,,1,-8,1,122893117,2119165938,1152921502487640402,120737,1.1696999426931143
60,966,1152921504606806327,11,3,216000,2,3600,1,0,0,1152921504606806328,2528336632909663,,1,-47,5,245284858,1335644760,1152921503271161568,4591,2.1951000671833754
60,967,1152921504606806317,1,3,216000,2,3600,10,0,0,1152921502462160599,67933057,,1,-51,2,268969767,-960262727,1152921505567069045,167117,7.731499965302646
60,968,1152921504606806243,11,3,216000,2,3600,1,0,0,1152921504606806244,262664935331,,1,-1963,6,8475859,-2114394413,1152921506721200657,213649,96.74160007853061
60,969,1152921504606806237,5,3,216000,2,3600,5,0,0,1152921502744249576,1122449,,1,-1663,17,34604612,-1618727326,1152921506225533564,65371,87.31149998493493
60,970,1152921504606806213,5,3,216000,2,3600,5,0,0,1152921502461912418,626693,,1,-263,13,97996316,-1444307418,1152921506051113632,152123,17.382999998517334
60,971,1152921504606806183,11,3,216000,2,3600,1,0,0,1152921504606806184,1355217536753,,0,,,,,,,76.6917000291869
60,972,1152921504606806173,1,3,216000,2,3600,10,1,1,1152921502466984709,153277,1152921502466984709,1,-3,1,104642433,2139821465,1152921502466984709,153277,6.21700007468462
60,973,1152921504606806159,11,3,216000,2,3600,1,0,0,1152921504606806160,94192933382909,,1,-440,12,4265021,-2145619314,1152921506752425474,20507,24.019000004045665
60,974,1152921504606806113,1,3,216000,2,3600,10,0,0,1152921505257385797,13010293,,1,-119,10,186629232,683271586,1152921503923534528,39233,32.62379998341203
60,975,1152921504606806047,7,3,216000,2,3600,7,0,0,1152921503388055089,3350953,,1,-39,4,131755386,1983599312,1152921502623206736,148867,17.932099988684058
60,976,1152921504606806023,7,3,216000,2,3600,7,0,0,1152921502934457487,11345563,,0,,,,,,,87.16660004574805
60,977,1152921504606805987,7,3,216000,2,3600,7,0,0,1152921504606805988,1546719683,,1,-43,1,204491482,1677368496,1152921502929437492,191461,33.173799980431795
60,978,1152921504606805943,11,3,216000,2,3600,1,0,0,1152921504606805944,16012798675094527,,1,-67,1,12748238,2144946932,1152921502461859012,80191,3.6139999283477664
60,979,1152921504606805877,5,3,216000,2,3600,5,0,0,1152921506750067970,1054429,,0,,,,,,,162.7357000252232
60,980,1152921504606805831,7,3,216000,2,3600,7,0,0,1152921503940728031,28131013,,1,-111,8,91515178,-1918868920,1152921506525674752,94049,15.09449991863221
60,981,1152921504606805673,5,3,216000,2,3600,5,1,1,1152921502967053898,150169,1152921502967053898,1,-4,1,693343373,1639751776,1152921502967053898,150169,1.8749999580904841
60,982,1152921504606805597,1,3,216000,2,3600,10,0,0,1152921506741404363,2183683,,1,-388,4,107641274,-340687830,1152921504947493428,83591,84.19630001299083
60,983,1152921504606805561,1,3,216000,2,3600,10,0,0,1152921506712869972,23168641,,1,-52,2,162365192,1800232854,1152921502806572708,93199,16.930999932810664
60,984,1152921504606805543,7,3,216000,2,3600,7,0,0,1152921502500975844,1067497,,0,,,,,,,118.29460004810244
60,985,1152921504606805469,5,3,216000,2,3600,5,0,0,1152921506616291970,13739681,,1,-1279,23,59237780,351466174,1152921504255339296,74623,61.251599923707545
60,986,1152921504606805387,7,3,216000,2,3600,7,0,0,1152921504606805388,1069867,,1,-232,2,72550341,-1841342434,1152921506448147822,63689,91.04379999917
60,987,1152921504606805343,11,3,216000,2,3600,1,0,0,1152921504606805344,2606815499527,,0,,,,,,,67.1289999736473
60,988,1152921504606805279,7,3,216000,2,3600,7,0,0,1152921503202092509,67428187,,1,-11,1,185555730,2057412404,1152921502549392876,139759,4.408600041642785
60,989,1152921504606805223,11,3,216000,2,3600,1,0,0,1152921504606805224,11548871,,1,-1496,28,48977771,1011458466,1152921503595346758,26251,42.048800038173795
60,990,1152921504606805081,1,3,216000,2,3600,10,0,0,1152921504365360714,1905077,,1,-7,1,593637520,1464529782,1152921503142275300,16787,5.567000014707446
60,991,1152921504606805057,1,3,216000,2,3600,10,0,0,1152921502469311796,1425077,,1,-8,1,635902278,1173333866,1152921503433471192,14563,7.8468999126926064
60,992,1152921504606805019,11,3,216000,2,3600,1,0,0,1152921504606805020,25230743,,1,-547,3,85365901,790893577,1152921503815911443,206603,46.90810001920909
60,993,1152921504606804973,1,3,216000,2,3600,10,0,0,1152921502842539508,433817,,1,-39,4,289952892,1154491886,1152921503452313088,132157,31.189800007268786
60,994,1152921504606804943,7,3,216000,2,3600,7,0,0,1152921506365983676,50537089,,1,-87,6,157456438,1566759688,1152921503040045256,134369,7.058899966068566
60,995,1152921504606804931,7,3,216000,2,3600,7,0,0,1152921505268653468,642663661,,1,-43,1,324923455,-268235343,1152921504875040275,46183,14.084800030104816
60,996,1152921504606804929,5,3,216000,2,3600,5,0,0,1152921504606804930,10350314252687,,1,-115,2,81983245,1959270779,1152921502647534151,36241,8.516000001691282
60,997,1152921504606804917,5,3,216000,2,3600,5,0,0,1152921506522620040,2309441,,1,-884,16,39094061,-1805721048,1152921506412525966,146161,34.84889992978424
60,998,1152921504606804871,7,3,216000,2,3600,7,0,0,1152921505951477444,39992389,,1,-259,4,92777749,1543466535,1152921503063338337,165203,39.3233000067994
60,999,1152921504606804731,11,3,216000,2,3600,1,0,0,1152921504606804732,2779919332501,,0,,,,,,,141.1833999445662
60,1000,1152921504606804659,11,3,216000,2,3600,1,0,0,1152921504606804660,161101711,,1,-11,1,164324365,2077175619,1152921502529629041,38201,2.1915000397711992
60,1001,1152921504606804617,5,3,216000,2,3600,5,0,0,1152921506709091106,2880194701,,0,,,,,,,111.33699992205948
60,1002,1152921504606804577,1,3,216000,2,3600,10,0,0,1152921505546356759,859213,,1,-984,12,63156116,828740098,1152921503778064480,99809,76.67890004813671
60,1003,1152921504606804571,7,3,216000,2,3600,7,0,0,1152921502461277908,12227071,,1,-79,5,35480330,2124202572,1152921502482602000,76991,17.1154000563547
60,1004,1152921504606804553,1,3,216000,2,3600,10,0,0,1152921502530239738,4343057,,1,-547,3,52909077,-1755115493,1152921506361920047,43133,66.09149998985231
60,1005,1152921504606804547,7,3,216000,2,3600,7,0,0,1152921506241926127,655979719,,0,,,,,,,84.01310001499951
60,1006,1152921504606804521,5,3,216000,2,3600,5,0,0,1152921504743843972,984701,,1,-23,3,388108360,-1071092778,1152921505677897300,34501,8.077100035734475
60,1007,1152921504606804503,11,3,216000,2,3600,1,0,0,1152921504606804504,2128669,,1,-1112,14,50226677,-1344032142,1152921505950836646,18131,46.24529997818172
60,1008,1152921504606804497,5,3,216000,2,3600,5,0,0,1152921506680156810,47476241,,1,-167,11,151356208,886528530,1152921503720275968,158161,66.25969999004155
60,1009,1152921504606804437,5,3,216000,2,3600,5,0,0,1152921503998324370,202770377,,0,,,,,,,106.23719997238368
60,1010,1152921504606804389,5,3,216000,2,3600,5,0,0,1152921504606804390,7041161,,1,-1303,11,32851132,-1790388922,1152921506397193312,61099,53.72630001511425
60,1011,1152921504606804349,1,3,216000,2,3600,10,0,0,1152921505872745160,123104693,,1,-7,1,666818676,-1224400258,1152921505831204608,120247,11.896200012415648
60,1012,1152921504606804263,11,3,216000,2,3600,1,0,0,1152921504606804264,639088909033,,1,-11,1,441834869,-1569804909,1152921506176609173,174047,2.896999940276146
60,1013,1152921504606804211,7,3,216000,2,3600,7,0,0,1152921502606678324,4419073,,1,-31,3,361131282,-754185740,1152921505360989952,53813,9.054300026036799
60,1014,1152921504606804017,5,3,216000,2,3600,5,0,0,1152921504606804018,38108003,,1,-1139,16,62452369,411395367,1152921504195408651,204311,47.8631000733003
60,1015,1152921504606803993,5,3,216000,2,3600,5,0,0,1152921502459846778,230969069,,1,-1112,14,9098662,2125941762,1152921502480862232,194917,50.03539996687323
60,1016,1152921504606803951,11,3,216000,2,3600,1,0,0,1152921504606803952,326148773,,1,-643,3,78727925,-791401673,1152921505398205625,159017,74.17460007127374
60,1017,1152921504606803887,7,3,216000,2,3600,7,0,0,1152921504606803888,38083789,,1,-107,3,40539459,2106142709,1152921502500661179,8807,25.747599895112216
60,1018,1152921504606803881,1,3,216000,2,3600,10,0,0,1152921504344715693,7864639,,1,-39,4,14113000,-2145674282,1152921506752478164,40213,17.039600061252713
60,1019,1152921504606803821,1,3,216000,2,3600,10,0,0,1152921506736160108,79827229,,1,-228,4,47743666,-2022861754,1152921506629665576,58943,30.655600014142692
60,1020,1152921504606803749,1,3,216000,2,3600,10,1,1,1152921505247571943,106501,1152921505247571943,1,-3,1,1183371193,-640768193,1152921505247571943,106501,3.531200112774968
60,1021,1152921504606803677,1,3,216000,2,3600,10,0,0,1152921506693266128,260011,,1,-244,6,136281894,-282725818,1152921504889529496,29663,46.28520004916936
60,1022,1152921504606803539,7,3,216000,2,3600,7,0,0,1152921504606803540,3886307,,0,,,,,,,161.33400006219745
60,1023,1152921504606803521,1,3,216000,2,3600,10,0,0,1152921506668912682,2772533,,1,-255,12,134479552,8648258,1152921504598155264,42499,44.13579998072237
60,1024,1152921504606803507,11,3,216000,2,3600,1,0,0,1152921504606803508,71538936746513,,1,-328,4,100847299,-1129543150,1152921505736346658,121181,25.749300024472177
60,1025,1152921504606803501,5,3,216000,2,3600,5,0,0,1152921504606803502,1675579,,1,-107,3,32730260,-2120627298,1152921506727430800,15149,25.181000004522502
60,1026,1152921504606803411,11,3,216000,2,3600,1,0,0,1152921504606803412,37138303846373,,1,-455,20,69935146,-1544770308,1152921506151573720,12589,23.288300028070807
60,1027,1152921504606803363,11,3,216000,2,3600,1,0,0,1152921504606803364,5056673265819313,,1,-1384,10,33425117,-1750836374,1152921506357639738,47129,54.07330009620637
60,1028,1152921504606803333,5,3,216000,2,3600,5,0,0,1152921506523424840,456079709,,0,,,,,,,79.40030004829168
60,1029,1152921504606803317,1,3,216000,2,3600,10,0,0,1152921502864291626,241861,,1,-143,10,178839732,-194997706,1152921504801801024,143743,26.799899991601706
60,1030,1152921504606803311,7,3,216000,2,3600,7,0,0,1152921506101395849,44194357,,1,-95,8,90548466,1957748368,1152921502649054944,78139,15.328199951909482
60,1031,1152921504606803233,1,3,216000,2,3600,10,0,0,1152921504732859057,2021843731,,1,-24,2,433747748,-310476094,1152921504917279328,20747,16.110599972307682
60,1032,1152921504606803171,11,3,216000,2,3600,1,0,0,1152921504606803172,504565279,,1,-7,1,146749862,-2112093124,1152921506718896296,44221,1.7211000667884946
60,1033,1152921504606803161,1,3,216000,2,3600,10,0,0,1152921502614245732,6203621,,1,-15,2,213528440,-1981860262,1152921506588663424,130171,14.843799988739192
60,1034,1152921504606803131,7,3,216000,2,3600,7,0,0,1152921502470458539,5449867,,1,-15,2,532868202,593681908,1152921504013121224,81353,4.563900060020387
60,1035,1152921504606803077,1,3,216000,2,3600,10,0,0,1152921505457672757,89434679689,,1,-244,6,34022021,-2080686552,1152921506687489630,121931,17.840299988165498
60,1036,1152921504606803051,11,3,216000,2,3600,1,0,0,1152921504606803052,8734253822778811,,1,-235,2,85686965,1698898427,1152921502907904625,31271,35.28399998322129
