candidate_id,a0,a1,b0,b1,norm_f,factorization_f,largest_prime_f,norm_g,factorization_g,largest_prime_g,baseline_f,baseline_factorization_f,baseline_largest_prime_f,baseline_g,baseline_factorization_g,baseline_largest_prime_g,actual_f_B7,actual_g_B7,actual_joint_B7,baseline_f_B7,baseline_g_B7,baseline_joint_B7,actual_f_B13,actual_g_B13,actual_joint_B13,baseline_f_B13,baseline_g_B13,baseline_joint_B13
119,-1,-2,2,-1,1,1,1,5441,5441^1,5441,1,1,1,4855,5^1*971^1,971,1,0,0,1,0,0,1,0,0,1,0,0
120,-1,-2,2,0,737,11^1*67^1,67,177,3^1*59^1,59,717,3^1*239^1,239,201,3^1*67^1,67,0,0,0,0,0,0,0,0,0,0,0,0
121,-1,-2,2,1,1377,3^4*17^1,17,5697,3^3*211^1,211,1339,13^1*103^1,103,7624,2^3*953^1,953,0,0,0,0,0,0,0,0,0,0,0,0
122,-1,-2,2,2,1009,1009^1,1009,48929,113^1*433^1,433,909,3^2*101^1,101,33709,13^1*2593^1,2593,0,0,0,0,0,0,0,0,0,0,0,0
123,-1,-1,-2,-2,4563,3^3*13^2,13,19683,3^9,3,6926,2^1*3463^1,3463,20268,2^2*3^2*563^1,563,0,1,0,0,0,0,1,1,1,0,0,0
124,-1,-1,-2,-1,803,11^1*73^1,73,2203,2203^1,2203,558,2^1*3^2*31^1,31,2564,2^2*641^1,641,0,0,0,0,0,0,0,0,0,0,0,0
125,-1,-1,-2,0,99,3^2*11^1,11,1139,17^1*67^1,67,96,2^5*3^1,3,1345,5^1*269^1,269,0,0,0,1,0,0,1,0,0,1,0,0
126,-1,-1,-2,1,243,3^5,3,3483,3^4*43^1,43,166,2^1*83^1,83,3806,2^1*11^1*173^1,173,1,0,0,0,0,0,1,0,0,0,0,0
127,-1,-1,-2,2,1811,1811^1,1811,28771,28771^1,28771,1401,3^1*467^1,467,28888,2^3*23^1*157^1,157,0,0,0,0,0,0,0,0,0,0,0,0
128,-1,-1,-1,-2,2137,2137^1,2137,8072,2^3*1009^1,1009,4068,2^2*3^2*113^1,113,4731,3^1*19^1*83^1,83,0,0,0,0,0,0,0,0,0,0,0,0
129,-1,-1,-1,-1,243,3^5,3,108,2^2*3^3,3,200,2^3*5^2,5,104,2^3*13^1,13,1,1,1,1,0,0,1,1,1,1,1,1
130,-1,-1,-1,0,17,17^1,17,72,2^3*3^2,3,21,3^1*7^1,7,81,3^4,3,0,1,0,1,1,1,0,1,0,1,1,1
131,-1,-1,-1,1,67,67^1,67,332,2^2*83^1,83,70,2^1*5^1*7^1,7,497,7^1*71^1,71,0,0,0,1,0,0,0,0,0,1,0,0
132,-1,-1,-1,2,729,3^6,3,12744,2^3*3^3*59^1,59,603,3^2*67^1,67,14398,2^1*23^1*313^1,313,1,0,0,0,0,0,1,0,0,0,0,0
133,-1,-1,0,-2,1227,3^1*409^1,409,6667,59^1*113^1,113,1029,3^1*7^3,7,8099,7^1*13^1*89^1,89,0,0,0,1,0,0,0,0,0,1,0,0
134,-1,-1,0,-1,67,67^1,67,147,3^1*7^2,7,67,67^1,67,145,5^1*29^1,29,0,1,0,0,0,0,0,1,0,0,0,0
135,-1,-1,0,0,27,3^3,3,27,3^3,3,17,17^1,17,25,5^2,5,1,1,1,0,1,0,1,1,1,0,1,0
136,-1,-1,0,1,51,3^1*17^1,17,211,211^1,211,50,2^1*5^2,5,211,211^1,211,0,0,0,1,0,0,0,0,0,1,0,0
137,-1,-1,0,2,331,331^1,331,10251,3^2*17^1*67^1,67,422,2^1*211^1,211,15334,2^1*11^1*17^1*41^1,41,0,0,0,0,0,0,0,0,0,0,0,0
138,-1,-1,1,-2,1161,3^3*43^1,43,11016,2^3*3^4*17^1,17,1320,2^3*3^1*5^1*11^1,11,11964,2^2*3^1*997^1,997,0,0,0,0,0,0,0,0,0,1,0,0
139,-1,-1,1,-1,11,11^1,11,556,2^2*139^1,139,12,2^2*3^1,3,783,3^3*29^1,29,0,0,0,1,0,0,1,0,0,1,0,0
140,-1,-1,1,0,33,3^1*11^1,11,8,2^3,2,37,37^1,37,8,2^3,2,0,1,0,0,1,0,1,1,1,0,1,0
141,-1,-1,1,1,27,3^3,3,972,2^2*3^5,3,31,31^1,31,1013,1013^1,1013,1,1,1,0,0,0,1,1,1,0,0,0
142,-1,-1,1,2,137,137^1,137,16072,2^3*7^2*41^1,41,143,11^1*13^1,13,9668,2^2*2417^1,2417,0,0,0,0,0,0,0,0,0,1,0,0
143,-1,-1,2,-2,2227,17^1*131^1,131,27107,27107^1,27107,2291,29^1*79^1,79,19689,3^1*6563^1,6563,0,0,0,0,0,0,0,0,0,0,0,0
144,-1,-1,2,-1,243,3^5,3,3483,3^4*43^1,43,152,2^3*19^1,19,3422,2^1*29^1*59^1,59,1,0,0,0,0,0,1,0,0,0,0,0
